,last_updated,id_code,name,country,actor_type,isin_id,race_to_zero_member,website,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_intensity_unit,end_target_baseline_emissions,end_target_target_emissions,end_target_bau_emissions,end_target_other,end_target_year,end_target_status,status_date,interim_target,interim_target_percentage_reduction,interim_target_baseline_year,interim_target_intensity_unit,interim_target_baseline_emissions,interim_target_target_emissions,interim_target_bau_emissions,interim_target_other,interim_target_year,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,governance_notes,carbon_credit_offsets,carbon_credit_conditions,max_emission_offset,conditions_other,removals_targets,cdr,sinks_and_credits_notes,memberships,gdp_real,annual_revenue,population,industry,sector,employees,market_index,ghg,inventory_year,higher_net_zero
2514,2022-03-14 15:02:25,COM-0427,Shopify,CAN,Company,CA82509L1076,No,http://www.shopify.com,No target,,,,,,,,,,,No target,,,,,,,,,,,"Shopify has not set any explicit targets, but consult the source below for sustainable practices that they have undertaken in:
https://cdn.shopify.com/static/sustainability-report/2020%20Shopify%20Sustainability%20Report.pdf?shpxid=497e3efa-A463-4253-A9C1-EAE240D86BBB",https://cdn.shopify.com/static/sustainability-report/2020%20Shopify%20Sustainability%20Report.pdf?shpxid=497e3efa-A463-4253-A9C1-EAE240D86BBB,Not Specified,,,,,Yes,Yes,Not Specified,,,No,,Annual reporting,No,No,,Yes,No conditions specified,,,No,Yes (nature-based and CCS-based removals),Shopify purchases carbon capture services through its Sustainability Fund.,,,1600000000.0,,Services,,4000.0,,,,
2868,2022-12-10 20:18:54,COM-0781,Fairfax Financial Holdings,CAN,Company,US30231G1022,No,https://corporate.exxonmobil.com,No target,,,,,,,,,In corporate strategy,,No target,,,,,,,,,,,,https://s1.q4cdn.com/579586326/files/doc_downloads/2021/12/2021-Fairfax-ESG-Report.pdf,Not Specified,,,,,Not Specified,Not Specified,Not Specified,No,,No,,Less than annual reporting,No,Not Specified,,Not Specified,,,,No,Not Specified,,,,19300000000.0,,Services,,44043.0,,,,
2902,2021-10-15 20:12:44,COM-0815,Rogers Communications,CAN,Company,CA7751092007,No,http://www.rogers.com,No target,,,,,,,,,,,No target,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,11200000000.0,,Services,"Media, telecommunications & data center services",25300.0,,,,
2973,2021-10-18 10:44:31,COM-0886,Fortis (Canada),CAN,Company,AU000000FMG4,No,http://www.fortisinc.com,No target,,,,,,,,,,,No target,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,6600000000.0,,Infrastructure,,9000.0,,,,
3073,2021-10-18 10:44:31,COM-0986,George Weston,CAN,Company,CA9611485090,No,http://www.weston.ca,No target,,,,,,,,,,,No target,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,37800000000.0,,"Food, beverage & agriculture",Convenience retail,194000.0,,,,
3149,2021-10-18 10:44:30,COM-1062,Intact Financial,CAN,Company,CA45823T1066,No,http://www.intactfc.com,No target,,,,,,,,,,,No target,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,8700000000.0,,Services,,16000.0,,,,
3368,2021-10-18 10:44:28,COM-1281,Waste Connections,CAN,Company,CA94106B1013,No,http://www.wasteconnections.com,No target,,,,,,,,,,,No target,,,,,,,,,,,,https://cdn.wasteconnections.com/resources/documents/sustainability/2019+Sustainability+Report.pdf,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,5400000000.0,,Services,,18204.0,,,,
3437,2021-10-18 10:44:29,COM-1350,Saputo,CAN,Company,CA8029121057,No,http://www.saputo.com,No target,,,,,,,,,,,Emissions reduction target,,,,,,,,,,-Reduce CO2 intensity of operations 20% by 2025,,http://www.saputo.com/en/our-promise/environment/energy-ghg,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,10900000000.0,,"Food, beverage & agriculture",,15700.0,,,,
3527,2021-10-18 10:44:30,COM-1440,Bausch Health Companies,CAN,Company,CA0717341071,No,http://www.bauschhealth.com,No target,,,,,,,,,,,No target,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,8600000000.0,,"Biotech, health care & pharma",,21700.0,,,,
3644,2023-02-22 15:18:26,COM-1557,Empire,CAN,Company,,No,http://www.empireco.ca,No target,,,,,,,,,,,No target,,,,,,,,,,,,,Not Specified,,,,,,,,,,,,,,,,,,,,,,,,,19500000000.0,,"Food, beverage & agriculture",,62000.0,,,,
