,last_updated,id_code,name,country,actor_type,isin_id,race_to_zero_member,website,end_target,end_target_percentage_reduction,end_target_baseline_year,end_target_intensity_unit,end_target_baseline_emissions,end_target_target_emissions,end_target_bau_emissions,end_target_other,end_target_year,end_target_status,status_date,interim_target,interim_target_percentage_reduction,interim_target_baseline_year,interim_target_intensity_unit,interim_target_baseline_emissions,interim_target_target_emissions,interim_target_bau_emissions,interim_target_other,interim_target_year,end_target_text,interim_target_text,target_notes,source_url,gasses_coverage,territorial_emissions,consumption_emissions,international_aviation,international_shipping,scope_1,scope_2,scope_3,historical_emissions,coverage_notes,has_plan,plan_options,reporting_mechanism,equity,accountability,governance_notes,carbon_credit_offsets,carbon_credit_conditions,max_emission_offset,conditions_other,removals_targets,cdr,sinks_and_credits_notes,memberships,gdp_real,annual_revenue,population,industry,sector,employees,market_index,ghg,inventory_year,higher_net_zero
2098,2022-10-30 10:57:27,COM-0011,Telus,CAN,Company,CA87971M1032,Yes,https://www.telus.com/fr/,Climate neutral,,,,,,,,2030.0,In corporate strategy,2020.0,No target,,,,,,,,,"Now, we are working to achieve our goal to be
net carbon neutral in our operations by 2030",,"As of 2020, Telus have achieved 37% reduction in GHG emissions. The company also has a 'long-term vision' of being zero waste. ",https://assets.ctfassets.net/1izjqx4qtt8c/2kwGrsZ9LQPRPPYrv4B1PQ/8c12efd640ea90a436c976869bf7942c/2021_Sustainability_and_ESG_Report.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,"By adopting Scope 1, 2 and 3 science-based targets,
we’re committing to a greener, brighter future. https://assets.ctfassets.net/1izjqx4qtt8c/2kwGrsZ9LQPRPPYrv4B1PQ/8c12efd640ea90a436c976869bf7942c/2021_Sustainability_and_ESG_Report.pdf
Targets:
Enable our operations to become net carbon neutral by 2030
Science Based Targets:
ȯ Reduce our Scope 1 and 2 emissions by 46% from 2019
levels by 2030
ȯ Reduce absolute Scope 3 GHG
emissions from business travel
and employee commuting 46% by 2030 from a 2019 base year
ȯ Reduce Scope 3
GHG emissions
from purchased
goods and
services, capital
goods and use of
sold products by
75% per million
dollars revenue by
2030 from a 2019
base year
Link: https://assets.ctfassets.net/1izjqx4qtt8c/2kwGrsZ9LQPRPPYrv4B1PQ/8c12efd640ea90a436c976869bf7942c/2021_Sustainability_and_ESG_Report.pdf",Yes,Schedule for regular review of measures,Annual reporting,Yes,Not Specified,,Not Specified,,,,,Not Specified,,,,,,Services,,,,,,
2128,2022-12-14 14:58:29,COM-0041,Lululemon Athletica,CAN,Company,,Yes,http://www.shop.lululemon.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Emissions reduction target,60.0,2018.0,,,,,,2030.0,"Lululemon has signed the UN Fashion Industry Charter for Climate 
Action so are committed to achieve net zero carbon by 2050 or 
earlier. ","60% absolute reduction of GHG emissions in all owned and operated facilities by 2030 (2018 base year
60% intensity reduction of GHG emissions across our global supply chain* by 2030 (2018 base year)
have other interim targets eg. by 2025 75% sustainable materials for their products and by 2025 will have circular process for people to re-use and repair old clothes ",Already completed 2021 aim to have 100% renewable energy to power their owned and operated facilities ,https://images.lululemon.com/is/content/lululemon/EMEA%20SALESFORCE/lululemon%20Impact%20Report%20FINAL%20.pdf?_ga=2.123408841.31578165.1671027983-2026875008.1671027983,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"very comprehensive plan with all scopes included and specific ways to reduce each part of supply chain. 
acknowledges that reducing scope 3, 99.7% of current emissions, is going to be the biggest challenge. ",Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Measures for all emission scopes that are covered by the target",No reporting mechanism,Yes,Not Specified,"Plan to reduce emissions:
sourcing renewable electricity in our operations through a combination of renewable energy credits (RECs) and a virtual Power Purchase Agreement (PPA) in North America
engaging with our manufacturing partners for energy efficiency and renewable energy progress,
sourcing more sustainable raw materials and fibers, including recycled and renewable content polyester and nylon, and
reducing carbon emissions in our inbound logistics.",No,,,,No,No,,,,4000000000.0,,Apparel,,19000.0,,,,
2267,2022-08-08 13:42:36,COM-0180,Royal Bank of Canada,CAN,Company,CA7800871021,Yes,http://rbc.com,Net zero,,,,,,,,2050.0,In corporate strategy,2020.0,Emissions reduction target,70.0,2018.0,,,,,,2025.0,$100 billion in sustainable financing by 2025.,Equivalent to net zero within own operations (scope 1 and 2),,http://www.rbc.com/community-sustainability/_assets-custom/pdf/RBC-Climate-Blueprint.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,,,No,,Annual reporting,No,No,,Yes,No conditions specified,,,,,,,,42900000000.0,,Services,,85000.0,,,,
2271,2022-11-08 15:43:02,COM-0184,Toronto-Dominion Bank,CAN,Company,CA8911605092,No,http://www.td.com/,Net zero,,,,,,,,2050.0,In corporate strategy,2020.0,Emissions reduction target,25.0,2019.0,,,,,,2025.0,"""achieve net-zero greenhouse gas (GHG) emissions by 2050 across our operations and financing""","""Interim Scope 1 and 2 GHG emissions reduction target of 25% by 2025, relation to a 2019 baseline""

2030 targets: -29% from 2019 baseline for energy and -58% for power generation","Climate Action Plan announced in November 2020
""proud to join the Net-Zero Banking Alliance in 2021""

2030 targets set in 2022 are here: https://www.td.com/document/PDF/ESG/2021-TD-Methodology-Interim-Financed-Emissions-Targets.pdf",https://www.td.com/document/PDF/ESG/2021-Climate-Action-Report.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Partial,No,"set 2030 targets for scope 3 financed emissions for the Energy and Power Generation sectors in 2022, and are planning for other scope 3 emissions for carbon-intensive sectors

Target specifically refers to GHGs plural",Yes,Measures for all emission scopes that are covered by the target|Information on the emission reductions expected from these measures within a certain time period|Schedule for regular review of measures,Annual reporting,Yes,Yes,"2023-2040: will set additional scope 3 targets
2025: will set new scope 1 and 2 interim target

'Just transition' mentioned on page 20
""delivering on the objectives of our Climate Action Plan was incorporated into the compensation of senior executives""

Reporting: https://www.td.com/ca/en/about-td/for-investors/economic-social-governance-reporting/",Not Specified,,,,No,Not Specified,"p4. https://www.td.com/document/PDF/ESG/2021-TD-Methodology-Interim-Financed-Emissions-Targets.pdf - not currently including offsets in target setting methology, but 'hope to contribute'

since 2025, they have purchased renewable energy certificates to offset 100% GHG emissions associated with scope 2 emissions, although this doesn't seem to be included in the target",,,44800000000.0,,Services,,46871.0,,,,
2293,2022-12-06 12:04:24,COM-0206,Enbridge,CAN,Company,RU000A100K72,No,http://www.enbridge.com,Net zero,,,,,,,,2050.0,In corporate strategy,2022.0,Emissions reduction target,35.0,2018.0,,,,,,2030.0,Eliminate GHG emissions from our business on a net basis (net zero) by 2050.,Reduce the intensity of GHG emissions from our operations 35% by 2030.,"Two Key Sources URLs: One is 
Enbridge Sustainability Report 2021 - https://www.enbridge.com/~/media/Enb/Documents/Reports/Sustainability%20Report%202021/Enbridge-SR-2021

Enbridge Net Zero by 50: Pathways to reducing our emissions 2022 - https://www.enbridge.com/~/media/Enb/Documents/About%20Us/Net_Zero_by_2050.pdf?la=en",https://www.enbridge.com/~/media/Enb/Documents/About%20Us/Net_Zero_by_2050.pdf?la=en,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,"""These targets focus on greenhouse gas (GHG) emissions generated by Enbridge’s operations arising from the combustion (carbon dioxide (CO2) and nitrous oxide (N2O)) and/or release of methane (CH4) (Scope 1 emissions) as well as emissions from the generation of purchased electricity consumed by the Company (Scope 2 emissions)"" (Net Zero by 2050, 2022 pg2).",Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)",Annual reporting,No,Yes,"Leadership accountability statement: ""To hold ourselves accountable, we’ve linked incentive pay for the executives and all employees to our ESG goals.""",Yes,Must be high environmental integrity,,,Yes,"Yes (nature-based removals e.g. Forestation, soil carbon enhancement)","We will balance residual emissions through procurement of carbon offset credits generated by nature-based solutions and renewable energy credits, with a primary focus on areas proximate to our operations.",,,37550000000.0,,Fossil Fuels,,11300.0,,,,
2294,2022-08-22 16:33:45,COM-0207,Manulife Financial,CAN,Company,CA56501R1064,Yes,http://www.manulife.com/,Net zero,,,,,,,,2050.0,In corporate strategy,2020.0,Emissions reduction target,35.0,2019.0,,,,,,2035.0,"We are committed to steering our investment
portfolio to be net zero by 2050.","We are using 2019 as our baseline year for our scope
1 and 2 reduction target of 35 per cent by 2035. ",,https://www.manulife.com/content/dam/corporate/global/en/documents/pas/climate-approach-en-2020.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,No,,Annual reporting,No,Yes,,Not Specified,,,,No,No,,,,58300000000.0,,Services,,35000.0,,,,
2296,2022-11-02 14:54:48,COM-0209,Bank of Montreal,CAN,Company,CA0636711016,No,http://www.bmo.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Emissions reduction target,30.0,2019.0,,,,,,2030.0,Targeting net zero financed emissions in our lending by 2050 and committing to establishing intermediate (2030) and longer-term (2050) targets for financed emission reduction in partnership with our clients. BMO will report on progress annually beginning in 2021.,"Setting a new target to reduce operational greenhouse gas emissions by 30% by 2030 versus a 2019 baseline using science-based approaches, building on BMO’s Carbon Neutral operations (since 2010) and matching 100% of global electricity use with renewable energy purchases (since 2020)",,https://newsroom.bmo.com/2021-03-10-BMO-declares-climate-ambition,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,Yes,"Information on the extent to which measures will be applied (e.g. if switching to EVs, what share of the fleet; if installing an own solar PV installation, what is the installed capacity)|Schedule for regular review of measures",Annual reporting,No,Yes,,Not Specified,,,,,Not Specified,,,,24500000000.0,,Services,Financial services,45513.0,,,,
2407,2023-01-18 08:07:46,COM-0320,Thomson Reuters,CAN,Company,CA8849031056,No,http://www.thomsonreuters.com,Net zero,,,,,,,,2050.0,In corporate strategy,2021.0,Emissions reduction target,50.0,2018.0,,,,,,2030.0,,Thomson Reuters today announced it has reduced its annual greenhouse gas (GHG) emissions by 93% from 2018 baseline levels. The reductions are largely the result of investment in renewable power for the company’s facilities through the purchase of renewable energy credits that incentivize the addition of more renewable power into the grid. The company is now ahead of its Science Based Targets initiative (SBTi) commitment to reduce annual GHG emissions by 50% by 2030.,"Discrepancy in the earlier press release (https://www.thomsonreuters.com/en/press-releases/2021/april/thomson-reuters-ahead-of-schedule-on-climate-change-targets.html)  and company's current stance on climate change (found here: https://www.thomsonreuters.com/en/about-us/social-impact/our-world/thomson-reuters-climate-change.html). The company does not mention its commitment to net zero in its position on climate change, which it does in the press release. 
Update on climate change targets
In 2020, Thomson Reuters joined the Science Based Targets initiative, committing to reduce Scope 1 & 2 greenhouse gas (GHG) emissions by 50% by 2030 from 2018 baseline levels, as well as reduce absolute Scope 3 GHG emissions from fuel and energy-related activities, business travel, and employee commuting by 25% by 2025 from 2019 baseline levels. Additionally, Thomson Reuters aims to require 65% of suppliers by spend to have Science Based Targets by 2025.
This year, we report an update on those goals. Largely through investment in renewable power for our facilities, we’ve been able to drive more than a 93% reduction in GHG emissions from our 2018 baseline. To date, business travel emissions are 91% lower than our 2019 baseline, and we have made progress on our engagement target with our supply chain, with 27% of suppliers by spend committed to Science Based Targets. In addition to the switch to renewable energy, Thomson Reuters is carbon neutral through offsetting the remaining portion of its GHG footprint through carbon offsets, and we continue to refine our procurement process to incentivize working with suppliers who share our commitment to sustainability. (Pg. 9)",https://www.thomsonreuters.com/content/dam/ewp-m/documents/thomsonreuters/en/pdf/social-impact/social-impact-and-esg-report-2021.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,No,,Annual reporting,No,Not Specified,,Yes,No conditions specified,,,No,Not Specified,,,,6000000000.0,,Services,,24400.0,,,,
2447,2023-02-22 15:42:44,COM-0360,Industrial Alliance Insurance,CAN,Company,,No,,Emissions reduction target,20.0,2019.0,,,,,,2025.0,In corporate strategy,2021.0,No target,,,,,,,,,"We are also announcing that iA Financial Group
is now committed to reducing its greenhouse gas (GHG)
emissions by 20% per employee by 2025.",,"Quebec City, December 13, 2019 – iA Financial Group today announces its commitment to offsetting its greenhouse gas (GHG) emissions through the purchase of carbon credits. Beginning in 2020, the company will work to become carbon neutral.",https://ia.ca/-/media/files/ia/apropos/dev-durable/82-108A_SustainabilityReport-2020-V2.pdf,Carbon dioxide and other GHGs,,,,,Yes,Yes,Yes,No,,Yes,Schedule for regular review of measures,Annual reporting,Yes,Not Specified,"Performance of our socially responsible investment funds
(As at December 31, 2020)",Yes,No conditions specified,,,Yes,No,"Quebec City, December 13, 2019 – iA Financial Group today announces its commitment to offsetting its greenhouse gas (GHG) emissions through the purchase of carbon credits. Beginning in 2020, the company will work to become carbon neutral.",,,9700000000.0,,Services,,6800.0,,,,
2496,2022-06-16 12:19:31,COM-0409,Cenovus Energy,CAN,Company,CA15135U1093,No,http://www.cenovus.com,Net zero,,,,,,,,2050.0,In corporate strategy,2020.0,Emissions reduction target,35.0,2019.0,,,,,,2035.0,Cenovus’s long-term ambition is to reach net zero emissions by 2050.,"""We have set a target to reduce our equity-based absolute scope 1 and 2 GHG emissions by 35% by year-end 2035 from our 2019 levels.""","Achieving a 35% reduction in our absolute scope 1 and 2 GHG emissions by year-end 2035 means reducing our 2019 total of 23.94 million tonnes of carbon dioxide equivalent (CO2e) by 8.4 million tonnes – the equivalent to taking more than 1.8 million cars off the road.

NB ""Cenovus Energy Inc. (TSX: CVE) (NYSE: CVE) announced today that effective March 31, 2021, its wholly owned subsidiary Husky Energy Inc. (“Husky”) has been amalgamated with Cenovus under the provisions of the Canada Business Corporations Act (the “amalgamation”). The company will continue to operate as Cenovus Energy Inc.""",https://www.cenovus.com/responsibility/environment/climate-change.html,Carbon dioxide and other GHGs,,,,,Yes,Yes,No,No,,Yes,Measures for all emission scopes that are covered by the target|Schedule for regular review of measures,Annual reporting,No,Yes,"Reporting: https://www.cenovus.com/Sustainability/Reporting

"" Individuals within the Sustainability & Engagement team are specifically responsible for monitoring climate-related issues, and Cenovus also has a number of cross-functional working groups that monitor and address climate-related issues and trends  and make recommendations to the board and the Cenovus leadership team. 
s Comment Row 1 Yes Our performance scorecard sets out our annual safety, environment, operating and financial performance targets for the company. Achievement of these targets impacts the corporate component of annual compensation
""https://mc-ced23ebb-4707-4c95-9c94-3171-cdn-endpoint.azureedge.net/-/media/Project/WWW/docs/sustainability/2020/Cenovus_Climate_Response_2020.pdf?rev=bca6529e988c4402b8583aa5a9587067&sc_lang=en&hash=069F90B339462D485992972DF4FFE43B",Not Specified,,,,No,"Yes (CCS-based removals e.g. BECCS, DACCS)","5 year plan: carbon capture and storage (CCS)
Lloydminster Upgrader
Minnedosa Ethanol plant
Elmworth gas plant
Expanded CO2 capture across larger assets

Projects being progressed for 2035 target
Foster Creek and Christina Lake
Lloydminster thermal projects
Lima Refinery",,,14400000000.0,,Fossil Fuels,Oil & gas extraction & production,2361.0,,,,
